,admin_id,gid,admin_name,ctry_id,ctry_name,prod.barley.sum,prod.cabbage.sum,prod.carrot.sum,prod.chickpea.sum,prod.cotton.sum,prod.cowpea.sum,prod.groundnut.sum,prod.maize.sum,prod.millet.sum,prod.oats.sum,prod.onion.sum,prod.pigeonpea.sum,prod.rapeseed.sum,prod.rice.sum,prod.rye.sum,prod.sorghum.sum,prod.soybean.sum,prod.sugarbeet.sum,prod.sunflower.sum,prod.sweetpotato.sum,prod.tobacco.sum,prod.tomato.sum,prod.wheat.sum,prod.whitepotato.sum,prod.yam.sum,prod.rank.1,prod.rank.2,prod.rank.3,prod.rank.4,prod.rank.5,prod.sums,prod.barley.prop,prod.cabbage.prop,prod.carrot.prop,prod.chickpea.prop,prod.cotton.prop,prod.cowpea.prop,prod.groundnut.prop,prod.maize.prop,prod.millet.prop,prod.oats.prop,prod.onion.prop,prod.pigeonpea.prop,prod.rapeseed.prop,prod.rice.prop,prod.rye.prop,prod.sorghum.prop,prod.soybean.prop,prod.sugarbeet.prop,prod.sunflower.prop,prod.sweetpotato.prop,prod.tobacco.prop,prod.tomato.prop,prod.wheat.prop,prod.whitepotato.prop,prod.yam.prop,prod.sumprops
1,152,20486,Aragatsotn,12,ARMENIA,6448.726455,5888.008998,946.7246823,0,0,0,0,657.2923371,0,85.05973935,2318.520521,0,0,0,17.15593401,0,0,3.243769279,0,0,154.7537648,10274.64198,18713.83984,36131.61664,0,whitepotato,wheat,tomato,barley,cabbage,81639.58467,0.078990192,0.072121986,0.011596393,0,0,0,0,0.008051147,0,0.001041893,0.028399465,0,0,0,0.000210142,0,0,3.97E-05,0,0,0.001895573,0.125853678,0.229225074,0.442574724,0,1
2,153,20582,Ararat,12,ARMENIA,6787.964816,7750.969084,1149.116685,0,0,0,0,691.8695146,0,89.53434893,3174.092557,0,0,0,18.10377786,0,0,3.437540331,0,0,162.8946648,14787.60839,19752.624,37945.50879,0,whitepotato,wheat,tomato,cabbage,barley,92313.72416,0.073531481,0.083963345,0.012447951,0,0,0,0,0.007494763,0,0.000969892,0.034383756,0,0,0,0.000196111,0,0,3.72E-05,0,0,0.001764577,0.160188623,0.213972778,0.411049485,0,1
3,154,20513,Armavir,12,ARMENIA,9508.246145,10266.82796,1566.95055,0,0.181873962,0,0,900.6633428,0,121.7538113,4122.076516,0,0.355710119,0,31.2062264,0,0,1288.124556,0.008985658,0,211.4366524,21707.85993,26261.90717,49467.94579,0,whitepotato,wheat,tomato,cabbage,barley,125455.5452,0.075789764,0.081836382,0.012490086,0,1.45E-06,0,0,0.007179143,0,0.000970494,0.03285687,0,2.84E-06,0,0.000248743,0,0,0.010267578,7.16E-08,0,0.001685351,0.173032287,0.209332374,0.394306571,0,1
4,155,20407,Geghark'unik',12,ARMENIA,7936.422091,7866.123038,1216.196399,0,76.93843842,0,0,850.6856129,0.001181325,103.0170133,3190.956065,0,0,10.65001249,21.02971214,0.001683385,0.0598437,44.71090598,3.431299329,0,194.8463033,14413.7341,23409.65039,44020.12467,0,whitepotato,wheat,tomato,barley,cabbage,103358.5788,0.076785325,0.076105178,0.011766768,0,0.000744384,0,0,0.008230431,1.14E-08,0.000996695,0.030872677,0,0,0.000103039,0.000203464,1.63E-08,5.79E-07,0.000432581,3.32E-05,0,0.001885149,0.139453679,0.22648967,0.425897155,0,1
5,156,20502,Kotayk',12,ARMENIA,5890.129135,5981.079132,923.9667635,0,0,0,0,600.3567977,0,77.69175082,2402.537893,0,0,0,15.66749071,0,0,2.961579131,0,0,141.3487831,10927.10223,17089.97873,33006.39166,0,whitepotato,wheat,tomato,cabbage,barley,77059.21194,0.076436405,0.077616666,0.011990348,0,0,0,0,0.00779085,0,0.001008208,0.031177816,0,0,0,0.000203318,0,0,3.84E-05,0,0,0.001834288,0.141801375,0.221777232,0.428325061,0,1
6,157,20284,Lorri,12,ARMENIA,8013.968029,4168.827246,856.8575044,0,0.013405885,0,0.295805264,1480.230608,0,112.993126,1369.793523,0,0,0,22.22897977,0,3.596242905,8.484368326,26.29869366,0,193.5353716,4601.309214,24473.77921,40561.49335,0,whitepotato,wheat,barley,tomato,cabbage,85893.70467,0.093300994,0.048534724,0.009975789,0,1.56E-07,0,3.44E-06,0.017233284,0,0.0013155,0.015947543,0,0,0,0.000258796,0,4.19E-05,9.88E-05,0.000306177,0,0.002253196,0.053569807,0.284931001,0.472228943,0,1
7,158,20441,Shirak,12,ARMENIA,6700.827037,3586.504402,720.1593345,0,0.019223757,0,0.424178511,1634.289107,0,98.83525243,1178.298843,0,0,0,20.15831856,0,5.156937122,9.094663918,67.64059448,0,162.5524663,4036.234755,23964.00732,27878.23294,0,whitepotato,wheat,barley,tomato,cabbage,70062.43537,0.095640795,0.051190119,0.010278822,0,2.74E-07,0,6.05E-06,0.023326182,0,0.001410674,0.01681784,0,0,0,0.000287719,0,7.36E-05,0.000129808,0.000965433,0,0.002320109,0.057609113,0.342037887,0.397905565,0,1
8,159,20856,Syunik',12,ARMENIA,14474.42967,15878.97658,2327.586155,0,437.7647858,0,0,1712.917457,0.00672151,181.4427125,6755.368345,0,0,60.59650707,38.49461326,0.009578133,0.340499047,239.2003644,19.52342772,0,372.3377019,31097.6408,44715.92125,77664.6928,0,whitepotato,wheat,tomato,cabbage,barley,195977.25,0.073857704,0.081024591,0.011876818,0,0.002233753,0,0,0.008740389,3.43E-08,0.000925836,0.034470166,0,0,0.000309202,0.000196424,4.89E-08,1.74E-06,0.001220552,9.96E-05,0,0.001899903,0.158679851,0.228168939,0.396294431,0,1
9,160,20309,Tavush,12,ARMENIA,3299.611863,1663.487726,351.8610296,0,0,0,0,336.3159636,0,43.52241163,549.0592663,0,0,0,8.776826262,0,0,1.659057337,0,0,79.18266712,1806.48365,9573.694649,18489.96526,0,whitepotato,wheat,barley,tomato,cabbage,36203.62037,0.091140384,0.045948104,0.009718946,0,0,0,0,0.009289567,0,0.001202156,0.015165866,0,0,0,0.00024243,0,0,4.58E-05,0,0,0.002187148,0.049897873,0.264440256,0.510721444,0,1
10,161,20631,Vayots' Dzor,12,ARMENIA,5152.248665,5852.730596,866.4479732,0,20.55103874,0,0,536.3017921,0.000315544,67.5140711,2408.6136,0,0,2.844726801,13.68316986,0.000449649,0.015984861,13.46741436,0.91653496,0,124.8144537,11203.77501,15051.19917,28750.53616,0,whitepotato,wheat,tomato,cabbage,barley,70065.66113,0.073534576,0.083532083,0.012366228,0,0.000293311,0,0,0.007654274,4.50E-09,0.000963583,0.03437652,0,0,4.06E-05,0.000195291,6.42E-09,2.28E-07,0.000192211,1.31E-05,0,0.001781393,0.159903936,0.21481563,0.410337042,0,1
